InspectionID,Facility_ID,Facility_Name,Facility_Address,Facility_Address_2,Facility_City,Facility_State,Facility_Postal_Code,Facility_County,Venue_Type,Inspection_Date,Inspection_Score,Inspection_Purpose,Inspection_Passed,No_Imminent_Health_Hazards,Disinfectant,Free_Chlorine,Free_Bromine,pH,Enclosure,Main_Drain_Visible,Safety_Equipment,Disinfectant_Level,pH_Balance,Inspection_Notes,OBJECTID
1349224,97624,DRURY INN & SUITES,9597 BROWNSBORO RD,,LOUISVILLE,KY,40241,JEFFERSON,HOT TUB / SPA,2018/01/05,97,ROUTINE,FALSE,TRUE,BROMINE,,3,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair",10
1349225,97623,DRURY INN & SUITES,9597 BROWNSBORO RD,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2018/01/05,97,ROUTINE,FALSE,TRUE,BROMINE,,3,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - water heaters:  approved type, thermometers, temperature limiting device, operating, good repair",11
1349226,83215,HOME OF THE INNOCENTS,1100 E MARKET ST,,LOUISVILLE,KY,40206,JEFFERSON,POOL,2018/01/05,95,ROUTINE,FALSE,TRUE,CHLORINE,3.5,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm),12
1349226,83215,HOME OF THE INNOCENTS,1100 E MARKET ST,,LOUISVILLE,KY,40206,JEFFERSON,POOL,2018/01/05,95,ROUTINE,TRUE,TRUE,CHLORINE,3.5,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm),13
1349227,83216,HOME OF THE INNOCENTS,1100 E MARKET ST,,LOUISVILLE,KY,40206,JEFFERSON,POOL,2018/01/05,91,ROUTINE,FALSE,TRUE,CHLORINE,3.5,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm)| other - toilet, shower, locker facilities: clean, lighting, ventilation, good repair",14
1349227,83216,HOME OF THE INNOCENTS,1100 E MARKET ST,,LOUISVILLE,KY,40206,JEFFERSON,POOL,2018/01/05,91,ROUTINE,TRUE,TRUE,CHLORINE,3.5,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| Disinfectant Level - disinfectant free residual| other - total alkalinity (50-180 ppm)| other - toilet, shower, locker facilities: clean, lighting, ventilation, good repair",15
1349517,29693,THE FORUM AT BROOKSIDE,200 BROOKSIDE DR,,DOUGLASS HILLS,KY,40243,JEFFERSON,POOL,2018/01/05,,OTHER,TRUE,TRUE,BROMINE,,5.8499999,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,16
1349764,64902,BAPTIST MILESTONE SPA,750 CYPRESS STATION DR,,LOUISVILLE,KY,40207,JEFFERSON,HOT TUB / SPA,2018/01/05,0,OTHER,TRUE,TRUE,CHLORINE,1.6,,7,TRUE,TRUE,TRUE,FALSE,FALSE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual| pH Balance - ph(7.2-7.8)| other - total alkalinity (50-180 ppm),17
1349765,64902,BAPTIST MILESTONE SPA,750 CYPRESS STATION DR,,LOUISVILLE,KY,40207,JEFFERSON,HOT TUB / SPA,2018/01/09,97,FOLLOW-UP,FALSE,TRUE,CHLORINE,2.2,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,18
1350605,47621,ST. XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,,LOUISVILLE,KY,40217,JEFFERSON,POOL,2018/01/11,0,OTHER,TRUE,TRUE,CHLORINE,2.4000001,,7.1999998,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,19
1350987,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2018/01/16,0,OTHER,TRUE,TRUE,CHLORINE,2,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual| other - temperature (heated facilities),20
1351225,78634,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/01/17,,OTHER,TRUE,TRUE,CHLORINE,2.4000001,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,21
1351234,97064,COURTYARD BY MARRIOTT,100 S. 2ND ST.,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2018/01/16,97,ROUTINE,FALSE,TRUE,CHLORINE,3,,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,22
1352307,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/01/22,78,ROUTINE,FALSE,TRUE,CHLORINE,40,,8.1999998,TRUE,TRUE,TRUE,FALSE,FALSE," pH Balance - ph(7.2-7.8)| Disinfectant Level - disinfectant free residual| other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - flow meter: installation, accessibility, operating, good repair| other - turover rate ~ hrs.(min.)| other - filter type ~, values, sight glass, air release, gauges, operating, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair",23
1353220,101551,HOME 2 SUITES,240 S. HANCOCK ST,,LOUISVILLE,KY,40202,JEFFERSON,POOL,2018/01/25,0,OTHER,TRUE,TRUE,CHLORINE,4.5999999,,75,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,24
1353301,97812,HAMPTON INN & HOME2 SUITES,1150 FOREST BRIDGE RD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/01/23,91,ROUTINE,FALSE,TRUE,CHLORINE,8.8000002,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Disinfectant Level - disinfectant free residual| other - disinfectant combined residual",25
1353302,66533,SPRINGHILL SUITES,10101 FOREST GREEN BLVD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/01/23,94,ROUTINE,FALSE,TRUE,CHLORINE,5.4000001,,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,26
1353303,97812,HAMPTON INN & HOME2 SUITES,1150 FOREST BRIDGE RD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/01/24,94,FOLLOW-UP,FALSE,TRUE,CHLORINE,5.1999998,,,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,27
1354014,93658,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/01/30,0,OTHER,TRUE,TRUE,CHLORINE,3.8,,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,28
1354181,64505,HOLIDAY INN EXPRESS,1520 ALLIANT AVE,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2018/01/30,,OTHER,TRUE,TRUE,BROMINE,,5.4000001,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,29
1354249,78986,HOLIDAY INN,447 FARMINGTON AVE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/01/30,,OTHER,TRUE,FALSE,CHLORINE,18,,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - temperature (heated facilities),30
1354325,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2018/01/30,0,OTHER,TRUE,TRUE,BROMINE,,4.5,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,31
1354326,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2018/01/31,0,OTHER,TRUE,TRUE,BROMINE,,4.5,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,32
1354746,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,,JEFFERSONTOWN,KY,40299,JEFFERSON,POOL,2018/01/31,,OTHER,TRUE,TRUE,BROMINE,,6.3000002,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,33
1354770,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/01/31,92,FOLLOW-UP,FALSE,TRUE,CHLORINE,3.5999999,,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE," Disinfectant Level - disinfectant free residual| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - approved receptacles and bulk storage area clean, good repair, adequate",34
1354770,66478,COURTYARD BY MARRIOTT,819 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/01/31,92,FOLLOW-UP,TRUE,TRUE,CHLORINE,3.5999999,,7.1999998,TRUE,TRUE,TRUE,TRUE,TRUE," Disinfectant Level - disinfectant free residual| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - approved receptacles and bulk storage area clean, good repair, adequate",35
1354773,33311,WATERFORD PLACE,4105 WATERFORD CIR,,LOUISVILLE,KY,40207,JEFFERSON,POOL,2018/01/31,,OTHER,TRUE,TRUE,BROMINE,,1,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,36
1355058,82770,GLENVIEW,5100 US HWY 42,,LOUISVILLE,KY,40241,JEFFERSON,HOT TUB / SPA,2018/02/01,95,ROUTINE,FALSE,TRUE,BROMINE,,3,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage",37
1355058,82770,GLENVIEW,5100 US HWY 42,,LOUISVILLE,KY,40241,JEFFERSON,HOT TUB / SPA,2018/02/01,95,ROUTINE,TRUE,TRUE,BROMINE,,3,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - chemicals stock: adequate, fresh, storage, usage",38
1355426,66059,COUNTRY INN & SUITES,1241 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2018/02/02,,OTHER,TRUE,TRUE,BROMINE,,2.25,6.8000002,TRUE,TRUE,TRUE,TRUE,FALSE, pH Balance - ph(7.2-7.8),39
1356622,29686,FOREST PARK CONDOMINIUMS,1600 FOREST PARK RD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/02/06,92,ROUTINE,FALSE,TRUE,CHLORINE,3.8,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",40
1356622,29686,FOREST PARK CONDOMINIUMS,1600 FOREST PARK RD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/02/06,92,ROUTINE,TRUE,TRUE,CHLORINE,3.8,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Disinfectant Level - disinfectant free residual| other - operator testing frequency, log sheets maintained",41
1357331,71464,COMFORT SUITES,6535 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2018/02/07,82,ROUTINE,FALSE,FALSE,CHLORINE,1.6,,7.5999999,FALSE,TRUE,FALSE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - equipment room: adequate space, floor drain, lighting, ventilation, no non-essential materials, clean, good repair| other - water heaters:  approved type, thermometers, temperature limiting device, operating, good repair| other - operator testing frequency, log sheets maintained| Safety Equipment - first aid, safety equipment, spa timer switch, telephone: readily accessible, adequate, maintained, good repair| Enclosure - facility enclosure: adequate, self closing gate, good repair",42
1357368,29699,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/02/08,0,OTHER,TRUE,TRUE,CHLORINE,3.8,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,43
1357370,67213,EAST LOUISVILLE EMBASSY SUITES,9940 CORPORATE CAMPUS DR,,LOUISVILLE,KY,40245,JEFFERSON,POOL,2018/02/08,0,OTHER,TRUE,TRUE,CHLORINE,1.6,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,44
1357991,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,,LOUISVILLE,KY,40214,JEFFERSON,POOL,2018/02/12,,OTHER,TRUE,TRUE,CHLORINE,1.6,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,45
1358026,97812,HAMPTON INN & HOME2 SUITES,1150 FOREST BRIDGE RD,,LOUISVILLE,KY,40223,JEFFERSON,POOL,2018/02/09,0,OTHER,TRUE,TRUE,CHLORINE,4,,7.5,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,46
1358088,43218,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,,LOUISVILLE,KY,40280,JEFFERSON,POOL,2018/02/08,87,ROUTINE,FALSE,TRUE,CHLORINE,2.5,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| other - depth markings and lane lines properly located, spaced sized, contrasting color, good repair| other - lighting, underwater and deck: adequate, operating, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - turover rate ~ hrs.(min.)",47
1358088,43218,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,,LOUISVILLE,KY,40280,JEFFERSON,POOL,2018/02/08,87,ROUTINE,TRUE,TRUE,CHLORINE,2.5,,7.5999999,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| other - depth markings and lane lines properly located, spaced sized, contrasting color, good repair| other - lighting, underwater and deck: adequate, operating, good repair| other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - turover rate ~ hrs.(min.)",48
1358089,43219,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,,LOUISVILLE,KY,40280,JEFFERSON,HOT TUB / SPA,2018/02/08,86,ROUTINE,FALSE,TRUE,CHLORINE,2.5,,7,TRUE,TRUE,TRUE,TRUE,FALSE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| other - turover rate ~ hrs.(min.)| other - water heaters:  approved type, thermometers, temperature limiting device, operating, good repair| other - chemicals stock: adequate, fresh, storage, usage| pH Balance - ph(7.2-7.8)",49
1358090,43220,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,,LOUISVILLE,KY,40280,JEFFERSON,WADING POOL,2018/02/08,84,ROUTINE,FALSE,TRUE,CHLORINE,2,,7,TRUE,TRUE,TRUE,TRUE,FALSE," other - pumps, approved type, capacity, gauges, valving, strainer, operating, good repair| other - flow meter: installation, accessibility, operating, good repair| other - turover rate ~ hrs.(min.)| other - filter type ~, values, sight glass, air release, gauges, operating, good repair| pH Balance - ph(7.2-7.8)| other - total alkalinity (50-180 ppm)",50
1358720,95029,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/02/15,,OTHER,TRUE,TRUE,CHLORINE,3.4000001,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,51
1358745,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2018/02/15,0,OTHER,TRUE,TRUE,CHLORINE,3.2,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,52
1358746,51574,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,,LOUISVILLE,KY,40215,JEFFERSON,POOL,2018/02/14,,OTHER,TRUE,TRUE,CHLORINE,3.8,,7,TRUE,TRUE,TRUE,TRUE,FALSE, pH Balance - ph(7.2-7.8),53
1359235,29358,CROWNE PLAZA,830 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/02/19,93,ROUTINE,FALSE,TRUE,CHLORINE,0.60000002,,7.3000002,TRUE,TRUE,TRUE,FALSE,TRUE," other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| Disinfectant Level - disinfectant free residual| other - structures, decks, furnishings:  good repair, clean",54
1359235,29358,CROWNE PLAZA,830 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/02/19,93,ROUTINE,TRUE,TRUE,CHLORINE,0.60000002,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| Disinfectant Level - disinfectant free residual| other - structures, decks, furnishings:  good repair, clean",55
1359283,91657,PARK LAUREATE APTS  INDOOR,2050 STONYBROOK DRIVE,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2018/02/19,97,ROUTINE,TRUE,TRUE,CHLORINE,2.5999999,,7.8000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - bottom, sidewalls, deck:  growths, scum build-up, clean, good repair| other - lighting, underwater and deck: adequate, operating, good repair",56
1359300,70161,HILTON GARDEN INN,2735 CRITTENDEN DRIVE,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/02/19,,OTHER,TRUE,TRUE,CHLORINE,1.8,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,57
1359592,29358,CROWNE PLAZA,830 PHILLIPS LN,,LOUISVILLE,KY,40209,JEFFERSON,POOL,2018/02/20,96,FOLLOW-UP,TRUE,TRUE,CHLORINE,1.6,,7.3000002,TRUE,TRUE,TRUE,TRUE,TRUE," other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| other - structures, decks, furnishings:  good repair, clean",58
1359670,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2018/02/20,95,ROUTINE,FALSE,TRUE,CHLORINE,2.5999999,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| other - disinfectant combined residual",59
1359670,91985,ESPORTA FITNESS,4620 TAYLORSVILLE RD,,LOUISVILLE,KY,40220,JEFFERSON,POOL,2018/02/20,95,ROUTINE,TRUE,TRUE,CHLORINE,2.5999999,,7.5,TRUE,TRUE,TRUE,TRUE,TRUE," other - ladders, steps, handrails, diving boards, lifelines and floats in good repair| other - disinfectant combined residual",60
1359828,77941,KORT,12613 TAYLORSVILLE RD SUITE 118,,LOUISVILLE,KY,40299,JEFFERSON,HOT TUB / SPA,2018/02/21,97,ROUTINE,FALSE,TRUE,BROMINE,,5.8499999,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,61
1360022,29144,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/02/21,0,OTHER,TRUE,TRUE,CHLORINE,4.1999998,,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,62
1360024,93658,BLAIRWOOD SWIM CLUB,9300 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/02/21,0,OTHER,TRUE,TRUE,CHLORINE,4.8000002,,7.4000001,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,63
1360026,66119,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,HOT TUB / SPA,2018/02/21,0,OTHER,TRUE,TRUE,BROMINE,,4.5,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,64
1360027,66118,DRURY INN & SUITES,9501 BLAIRWOOD RD,,LOUISVILLE,KY,40222,JEFFERSON,POOL,2018/02/21,0,OTHER,TRUE,TRUE,BROMINE,,4.0500002,7.1999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,65
1360267,101828,QUALITY INN,1301 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2018/02/22,,OTHER,TRUE,TRUE,BROMINE,,0.44999999,8.3999996,TRUE,TRUE,TRUE,FALSE,FALSE, pH Balance - ph(7.2-7.8)| Disinfectant Level - disinfectant free residual,66
1360280,78826,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,,LOUISVILLE,KY,40213,JEFFERSON,POOL,2018/02/22,94,ROUTINE,FALSE,TRUE,BROMINE,,6.3000002,7.8000002,TRUE,TRUE,TRUE,FALSE,TRUE," other - perimeter overflow system, skimmers, inlets, main drain, water level, operating, clean, good repair| Disinfectant Level - disinfectant free residual",67
1360553,98992,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,,LOUISVILLE,KY,40299,JEFFERSON,POOL,2018/02/23,,OTHER,TRUE,TRUE,BROMINE,,9,7.6999998,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual,68
1360714,78766,HILTON GARDEN INN,9850 PARK PLAZA AVE,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2018/02/21,,OTHER,TRUE,TRUE,CHLORINE,2,,7.4000001,TRUE,TRUE,TRUE,TRUE,TRUE, other - disinfectant combined residual,69
1360716,65220,RESIDENCE INN,3500 SPRINGHURST COMMONS DR,,LOUISVILLE,KY,40241,JEFFERSON,POOL,2018/02/21,,OTHER,TRUE,TRUE,CHLORINE,3,,7.5999999,TRUE,TRUE,TRUE,FALSE,TRUE, Disinfectant Level - disinfectant free residual| other - disinfectant combined residual,70
